,place,tw_visit,ym
141,Andersonville_NHS_(ANDE),4.0,2015_10
142,Andersonville_NHS_(ANDE),0.0,2015_11
143,Andersonville_NHS_(ANDE),0.0,2015_12
144,Andersonville_NHS_(ANDE),2.0,2016_01
145,Andersonville_NHS_(ANDE),3.0,2016_02
146,Andersonville_NHS_(ANDE),0.0,2016_03
147,Andersonville_NHS_(ANDE),1.0,2016_04
148,Andersonville_NHS_(ANDE),1.0,2016_05
149,Andersonville_NHS_(ANDE),4.0,2016_06
150,Andersonville_NHS_(ANDE),4.0,2016_07
151,Andersonville_NHS_(ANDE),5.0,2016_08
152,Aniakchak_NM_&_PRES_(ANIA),1.0,2014_02
153,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_03
154,Aniakchak_NM_&_PRES_(ANIA),1.0,2014_04
155,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_05
156,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_06
157,Aniakchak_NM_&_PRES_(ANIA),5.0,2014_07
158,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_08
159,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_09
160,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_10
161,Aniakchak_NM_&_PRES_(ANIA),2.0,2014_11
162,Aniakchak_NM_&_PRES_(ANIA),0.0,2014_12
163,Aniakchak_NM_&_PRES_(ANIA),1.0,2015_01
164,Aniakchak_NM_&_PRES_(ANIA),5.0,2015_02
165,Aniakchak_NM_&_PRES_(ANIA),0.0,2015_03
166,Aniakchak_NM_&_PRES_(ANIA),1.0,2015_04
167,Aniakchak_NM_&_PRES_(ANIA),0.0,2015_05
168,Aniakchak_NM_&_PRES_(ANIA),1.0,2015_06
169,Aniakchak_NM_&_PRES_(ANIA),0.0,2015_07
170,Aniakchak_NM_&_PRES_(ANIA),5.0,2015_08
171,Aniakchak_NM_&_PRES_(ANIA),0.0,2015_09
172,Aniakchak_NM_&_PRES_(ANIA),0.0,2015_10
173,Aniakchak_NM_&_PRES_(ANIA),1.0,2015_11
174,Aniakchak_NM_&_PRES_(ANIA),0.0,2015_12
175,Aniakchak_NM_&_PRES_(ANIA),0.0,2016_01
176,Aniakchak_NM_&_PRES_(ANIA),2.0,2016_02
177,Aniakchak_NM_&_PRES_(ANIA),0.0,2016_03
178,Aniakchak_NM_&_PRES_(ANIA),84.0,2016_04
179,Aniakchak_NM_&_PRES_(ANIA),30.0,2016_05
180,Aniakchak_NM_&_PRES_(ANIA),5.0,2016_06
181,Aniakchak_NM_&_PRES_(ANIA),12.0,2016_07
182,Aniakchak_NM_&_PRES_(ANIA),23.0,2016_08
183,Appomattox_Court_House_NHP_(APCO),9.0,2014_01
184,Appomattox_Court_House_NHP_(APCO),3.0,2014_02
185,Appomattox_Court_House_NHP_(APCO),8.0,2014_03
186,Appomattox_Court_House_NHP_(APCO),14.0,2014_04
187,Appomattox_Court_House_NHP_(APCO),5.0,2014_05
188,Appomattox_Court_House_NHP_(APCO),11.0,2014_06
189,Appomattox_Court_House_NHP_(APCO),22.0,2014_07
190,Appomattox_Court_House_NHP_(APCO),23.0,2014_08
191,Appomattox_Court_House_NHP_(APCO),13.0,2014_09
192,Appomattox_Court_House_NHP_(APCO),3.0,2014_10
193,Appomattox_Court_House_NHP_(APCO),4.0,2014_11
194,Appomattox_Court_House_NHP_(APCO),1.0,2014_12
195,Appomattox_Court_House_NHP_(APCO),8.0,2015_01
196,Appomattox_Court_House_NHP_(APCO),5.0,2015_02
197,Appomattox_Court_House_NHP_(APCO),10.0,2015_03
198,Appomattox_Court_House_NHP_(APCO),40.0,2015_04
199,Appomattox_Court_House_NHP_(APCO),2.0,2015_05
200,Appomattox_Court_House_NHP_(APCO),2.0,2015_06
201,Appomattox_Court_House_NHP_(APCO),4.0,2015_07
202,Appomattox_Court_House_NHP_(APCO),2.0,2015_08
203,Appomattox_Court_House_NHP_(APCO),3.0,2015_09
204,Appomattox_Court_House_NHP_(APCO),2.0,2015_10
205,Appomattox_Court_House_NHP_(APCO),0.0,2015_11
206,Appomattox_Court_House_NHP_(APCO),1.0,2015_12
207,Appomattox_Court_House_NHP_(APCO),1.0,2016_01
208,Appomattox_Court_House_NHP_(APCO),1.0,2016_02
209,Appomattox_Court_House_NHP_(APCO),5.0,2016_03
210,Appomattox_Court_House_NHP_(APCO),8.0,2016_04
211,Appomattox_Court_House_NHP_(APCO),5.0,2016_05
212,Appomattox_Court_House_NHP_(APCO),10.0,2016_06
213,Appomattox_Court_House_NHP_(APCO),7.0,2016_07
214,Appomattox_Court_House_NHP_(APCO),4.0,2016_08
215,Arches_NP_(ARCH),20.0,2014_01
216,Arches_NP_(ARCH),29.0,2014_02
217,Arches_NP_(ARCH),101.0,2014_03
218,Arches_NP_(ARCH),73.0,2014_04
219,Arches_NP_(ARCH),113.0,2014_05
220,Arches_NP_(ARCH),107.0,2014_06
221,Arches_NP_(ARCH),133.0,2014_07
222,Arches_NP_(ARCH),121.0,2014_08
223,Arches_NP_(ARCH),75.0,2014_09
224,Arches_NP_(ARCH),56.0,2014_10
225,Arches_NP_(ARCH),27.0,2014_11
226,Arches_NP_(ARCH),26.0,2014_12
227,Arches_NP_(ARCH),39.0,2015_01
228,Arches_NP_(ARCH),48.0,2015_02
229,Arches_NP_(ARCH),106.0,2015_03
230,Arches_NP_(ARCH),119.0,2015_04
231,Arches_NP_(ARCH),100.0,2015_05
232,Arches_NP_(ARCH),113.0,2015_06
