,fl_visit,place,ym
342,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_11
343,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2015_12
344,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016_01
345,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016_02
346,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016_03
347,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016_04
348,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016_05
349,1.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016_06
350,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016_07
351,0.0,Arlington_House_The_R.E._Lee_MEM_(ARHO),2016_08
352,7.0,Assateague_Island_NS_(ASIS),2014_01
353,4.0,Assateague_Island_NS_(ASIS),2014_02
354,6.0,Assateague_Island_NS_(ASIS),2014_03
355,10.0,Assateague_Island_NS_(ASIS),2014_04
356,9.0,Assateague_Island_NS_(ASIS),2014_05
357,8.0,Assateague_Island_NS_(ASIS),2014_06
358,9.0,Assateague_Island_NS_(ASIS),2014_07
359,27.0,Assateague_Island_NS_(ASIS),2014_08
360,18.0,Assateague_Island_NS_(ASIS),2014_09
361,9.0,Assateague_Island_NS_(ASIS),2014_10
362,14.0,Assateague_Island_NS_(ASIS),2014_11
363,8.0,Assateague_Island_NS_(ASIS),2014_12
364,5.0,Assateague_Island_NS_(ASIS),2015_01
365,1.0,Assateague_Island_NS_(ASIS),2015_02
366,3.0,Assateague_Island_NS_(ASIS),2015_03
367,10.0,Assateague_Island_NS_(ASIS),2015_04
368,9.0,Assateague_Island_NS_(ASIS),2015_05
369,10.0,Assateague_Island_NS_(ASIS),2015_06
370,9.0,Assateague_Island_NS_(ASIS),2015_07
371,23.0,Assateague_Island_NS_(ASIS),2015_08
372,5.0,Assateague_Island_NS_(ASIS),2015_09
373,4.0,Assateague_Island_NS_(ASIS),2015_10
374,6.0,Assateague_Island_NS_(ASIS),2015_11
375,6.0,Assateague_Island_NS_(ASIS),2015_12
376,8.0,Assateague_Island_NS_(ASIS),2016_01
377,1.0,Assateague_Island_NS_(ASIS),2016_02
378,8.0,Assateague_Island_NS_(ASIS),2016_03
379,9.0,Assateague_Island_NS_(ASIS),2016_04
380,12.0,Assateague_Island_NS_(ASIS),2016_05
381,19.0,Assateague_Island_NS_(ASIS),2016_06
382,16.0,Assateague_Island_NS_(ASIS),2016_07
383,28.0,Assateague_Island_NS_(ASIS),2016_08
384,0.0,Aztec_Ruins_NM_(AZRU),2014_01
385,1.0,Aztec_Ruins_NM_(AZRU),2014_02
386,1.0,Aztec_Ruins_NM_(AZRU),2014_03
387,0.0,Aztec_Ruins_NM_(AZRU),2014_04
388,2.0,Aztec_Ruins_NM_(AZRU),2014_05
389,1.0,Aztec_Ruins_NM_(AZRU),2014_06
390,1.0,Aztec_Ruins_NM_(AZRU),2014_07
391,0.0,Aztec_Ruins_NM_(AZRU),2014_08
392,0.0,Aztec_Ruins_NM_(AZRU),2014_09
393,2.0,Aztec_Ruins_NM_(AZRU),2014_10
394,0.0,Aztec_Ruins_NM_(AZRU),2014_11
395,0.0,Aztec_Ruins_NM_(AZRU),2014_12
396,0.0,Aztec_Ruins_NM_(AZRU),2015_01
397,0.0,Aztec_Ruins_NM_(AZRU),2015_02
398,0.0,Aztec_Ruins_NM_(AZRU),2015_03
399,0.0,Aztec_Ruins_NM_(AZRU),2015_04
400,0.0,Aztec_Ruins_NM_(AZRU),2015_05
401,1.0,Aztec_Ruins_NM_(AZRU),2015_06
402,1.0,Aztec_Ruins_NM_(AZRU),2015_07
403,0.0,Aztec_Ruins_NM_(AZRU),2015_08
404,2.0,Aztec_Ruins_NM_(AZRU),2015_09
405,0.0,Aztec_Ruins_NM_(AZRU),2015_10
406,1.0,Aztec_Ruins_NM_(AZRU),2015_11
407,1.0,Aztec_Ruins_NM_(AZRU),2015_12
408,0.0,Aztec_Ruins_NM_(AZRU),2016_01
409,0.0,Aztec_Ruins_NM_(AZRU),2016_02
410,0.0,Aztec_Ruins_NM_(AZRU),2016_03
411,0.0,Aztec_Ruins_NM_(AZRU),2016_04
412,0.0,Aztec_Ruins_NM_(AZRU),2016_05
413,1.0,Aztec_Ruins_NM_(AZRU),2016_06
414,1.0,Aztec_Ruins_NM_(AZRU),2016_07
415,0.0,Aztec_Ruins_NM_(AZRU),2016_08
416,2.0,Badlands_NP_(BADL),2014_01
417,0.0,Badlands_NP_(BADL),2014_02
418,2.0,Badlands_NP_(BADL),2014_03
419,3.0,Badlands_NP_(BADL),2014_04
420,12.0,Badlands_NP_(BADL),2014_05
421,34.0,Badlands_NP_(BADL),2014_06
422,23.0,Badlands_NP_(BADL),2014_07
423,22.0,Badlands_NP_(BADL),2014_08
424,12.0,Badlands_NP_(BADL),2014_09
425,5.0,Badlands_NP_(BADL),2014_10
426,2.0,Badlands_NP_(BADL),2014_11
427,1.0,Badlands_NP_(BADL),2014_12
428,6.0,Badlands_NP_(BADL),2015_01
429,2.0,Badlands_NP_(BADL),2015_02
430,3.0,Badlands_NP_(BADL),2015_03
431,0.0,Badlands_NP_(BADL),2015_04
432,19.0,Badlands_NP_(BADL),2015_05
433,18.0,Badlands_NP_(BADL),2015_06
434,32.0,Badlands_NP_(BADL),2015_07
435,26.0,Badlands_NP_(BADL),2015_08
436,13.0,Badlands_NP_(BADL),2015_09
437,12.0,Badlands_NP_(BADL),2015_10
438,1.0,Badlands_NP_(BADL),2015_11
439,1.0,Badlands_NP_(BADL),2015_12
440,0.0,Badlands_NP_(BADL),2016_01
441,0.0,Badlands_NP_(BADL),2016_02
442,1.0,Badlands_NP_(BADL),2016_03
443,2.0,Badlands_NP_(BADL),2016_04
444,27.0,Badlands_NP_(BADL),2016_05
445,27.0,Badlands_NP_(BADL),2016_06
446,19.0,Badlands_NP_(BADL),2016_07
447,20.0,Badlands_NP_(BADL),2016_08
448,2.0,Bandelier_NM_(BAND),2014_01
449,4.0,Bandelier_NM_(BAND),2014_02
450,3.0,Bandelier_NM_(BAND),2014_03
451,7.0,Bandelier_NM_(BAND),2014_04
452,8.0,Bandelier_NM_(BAND),2014_05
453,3.0,Bandelier_NM_(BAND),2014_06
454,2.0,Bandelier_NM_(BAND),2014_07
455,1.0,Bandelier_NM_(BAND),2014_08
456,2.0,Bandelier_NM_(BAND),2014_09
457,5.0,Bandelier_NM_(BAND),2014_10
458,2.0,Bandelier_NM_(BAND),2014_11
459,2.0,Bandelier_NM_(BAND),2014_12
460,3.0,Bandelier_NM_(BAND),2015_01
461,2.0,Bandelier_NM_(BAND),2015_02
462,3.0,Bandelier_NM_(BAND),2015_03
463,6.0,Bandelier_NM_(BAND),2015_04
464,12.0,Bandelier_NM_(BAND),2015_05
465,8.0,Bandelier_NM_(BAND),2015_06
466,4.0,Bandelier_NM_(BAND),2015_07
467,4.0,Bandelier_NM_(BAND),2015_08
468,3.0,Bandelier_NM_(BAND),2015_09
469,4.0,Bandelier_NM_(BAND),2015_10
470,4.0,Bandelier_NM_(BAND),2015_11
471,2.0,Bandelier_NM_(BAND),2015_12
472,2.0,Bandelier_NM_(BAND),2016_01
473,0.0,Bandelier_NM_(BAND),2016_02
474,1.0,Bandelier_NM_(BAND),2016_03
475,2.0,Bandelier_NM_(BAND),2016_04
476,11.0,Bandelier_NM_(BAND),2016_05
477,3.0,Bandelier_NM_(BAND),2016_06
478,3.0,Bandelier_NM_(BAND),2016_07
479,9.0,Bandelier_NM_(BAND),2016_08
480,0.0,Bent's_Old_Fort_NHS_(BEOL),2014_01
481,0.0,Bent's_Old_Fort_NHS_(BEOL),2014_02
482,0.0,Bent's_Old_Fort_NHS_(BEOL),2014_03
