,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17
SIR_JOHN_SOANES_March, -   , -   , -   , -   ,"8,944","11,316","10,455","9,309","10,437","10,169","9,781","10,366", -   
SIR_JOHN_SOANES_FY_Total,"87,165","84,624","92,141","93,301","96,445","107,498","110,106","107,903","106,150","119,305","117,470","121,022","41,977"
TATE_TOTAL_April,"460,099","608,435","591,088","684,842","586,966","586,601","590,649","634,722","796,673","669,323","659,476","587,482","441,342"
TATE_TOTAL_May,"451,568","541,077","521,653","557,464","611,173","571,294","658,090","578,026","625,338","649,312","759,264","656,992","437,003"
TATE_TOTAL_June,"548,208","517,768","523,585","576,471","646,381","526,131","591,616","593,472","630,960","528,738","666,136","544,141","734,041"
TATE_TOTAL_July,"668,281","534,737","663,637","674,884","716,663","670,127","750,621","743,327","744,903","684,678","798,793","699,374","964,422"
TATE_TOTAL_August,"726,580","529,949","743,149","740,130","851,192","689,399","809,443","728,900","791,164","709,650","910,501","686,972", -   
TATE_TOTAL_September,"470,629","519,443","620,196","532,849","587,983","537,438","545,806","528,737","695,424","562,164","643,881","517,453", -   
TATE_TOTAL_October,"562,560","685,109","872,815","780,283","773,758","745,706","846,751","669,544","736,614","622,083","711,937","582,714", -   
TATE_TOTAL_November,"466,993","536,323","682,876","686,494","601,994","553,270","601,325","502,454","548,996","515,852","589,981","473,942", -   
TATE_TOTAL_December,"389,141","450,180","603,918","558,155","481,314","487,285","431,238","452,208","469,546","444,548","529,813","454,021", -   
TATE_TOTAL_January,"380,623","491,014","538,958","572,863","510,712","540,356","508,582","456,188","462,217","498,601","551,337","501,954", -   
TATE_TOTAL_February,"537,371","482,463","646,083","641,559","539,269","578,576","530,517","559,721","556,537","569,390","529,402","441,777", -   
TATE_TOTAL_March,"630,452","515,945","699,878","698,835","567,779","568,749","592,768","603,734","693,488","574,733","553,600","499,537", -   
TATE_TOTAL_FY_Total,"6,292,505","6,412,443","7,707,836","7,704,829","7,475,184","7,054,932","7,457,406","7,051,033","7,751,860","7,029,072","7,904,121","6,646,359","2,576,808"
TATE_BRITAIN _April,"82,215","247,591","124,153","152,384","138,119","125,360","139,862","125,540","148,871","92,416","97,022","94,553","85,141"
TATE_BRITAIN _May,"63,315","179,741","85,218","108,264","96,816","104,559","139,404","112,751","125,526","100,981","86,268","92,637","86,284"
TATE_BRITAIN _June,"68,627","74,463","123,950","115,782","95,746","103,951","125,357","118,429","122,866","106,932","91,233","87,138","71,559"
TATE_BRITAIN _July,"94,343","86,742","130,378","117,993","112,746","119,559","155,331","139,113","106,901","152,988","98,553","116,414","72,169"
TATE_BRITAIN _August,"108,577","83,305","153,279","129,129","118,294","103,531","158,909","142,615","81,997","163,845","116,933","124,208", -   
TATE_BRITAIN _September,"72,756","78,505","85,238","87,065","136,605","101,568","111,759","99,802","118,327","137,612","117,077","112,709", -   
TATE_BRITAIN _October,"116,482","171,689","170,075","154,457","199,997","178,530","153,689","121,362","164,064","148,505","165,984","141,442", -   
TATE_BRITAIN _November,"114,781","170,853","176,751","144,865","172,007","154,266","122,231","100,622","144,861","103,923","151,838","101,724", -   
TATE_BRITAIN _December,"84,652","129,524","147,371","114,046","138,717","128,819","87,583","90,994","106,191","93,850","115,036","80,149", -   
TATE_BRITAIN _January,"70,043","140,825","130,737","127,872","118,376","159,282","94,157","102,675","107,297","99,825","150,835","102,183", -   
TATE_BRITAIN _February,"198,868","119,974","158,744","134,969","122,786","147,951","147,903","145,525","77,074","112,826","85,319","103,836", -   
TATE_BRITAIN _March,"241,796","140,147","179,811","146,421","137,446","149,463","169,960","166,384","92,849","105,283","97,391","98,606", -   
TATE_BRITAIN _FY_Total,"1,316,455","1,623,359","1,665,705","1,533,247","1,587,655","1,576,839","1,606,145","1,465,812","1,396,824","1,418,986","1,373,489","1,255,599","315,153"
TATE_MODERN  _April,"304,991","301,947","390,294","466,406","365,447","397,980","391,680","446,063","580,036","509,236","517,940","421,822","305,386"
TATE_MODERN  _May,"319,245","279,248","374,464","377,818","405,696","409,107","443,490","409,789","447,241","479,821","613,354","484,772","297,165"
TATE_MODERN  _June,"393,766","359,059","335,428","387,742","385,546","357,078","366,603","406,147","428,800","338,848","501,885","388,272","604,476"
TATE_MODERN  _July,"468,903","347,468","437,806","469,704","386,000","458,725","478,836","490,997","530,400","421,666","595,019","475,441","811,162"
TATE_MODERN  _August,"512,807","328,504","480,753","485,799","472,907","470,642","506,151","466,231","591,215","424,556","686,413","444,771", -   
TATE_MODERN  _September,"320,110","351,934","459,838","347,411","367,947","371,176","370,181","343,733","490,750","335,647","445,973","321,903", -   
TATE_MODERN  _October,"361,295","442,868","622,330","539,989","487,430","500,192","623,328","471,799","492,280","408,457","473,991","375,924", -   
TATE_MODERN  _November,"308,698","321,294","455,170","464,193","372,444","357,714","435,048","346,598","358,494","364,490","377,363","337,615", -   
TATE_MODERN  _December,"274,409","286,370","419,959","394,312","315,836","323,936","317,083","318,420","333,040","316,602","367,044","338,669", -   
TATE_MODERN  _January,"274,829","314,454","369,659","393,408","344,887","347,412","383,069","307,185","323,835","358,933","341,653","361,563", -   
TATE_MODERN  _February,"284,615","303,749","424,594","436,752","361,950","380,514","340,093","365,921","419,576","415,405","380,208","287,057", -   
TATE_MODERN  _March,"323,881","321,131","464,213","473,168","381,791","363,712","379,448","393,326","542,205","432,107","401,531","349,639", -   
TATE_MODERN  _FY_Total,"4,147,549","3,958,026","5,234,508","5,236,702","4,647,881","4,738,188","5,035,010","4,766,209","5,537,872","4,805,768","5,702,374","4,587,448","2,018,189"
TATE_LIVERPOOL_April,"49,335","40,907","49,106","43,839","63,501","40,769","39,196","38,114","47,671","42,439","40,149","47,839","46,793"
TATE_LIVERPOOL_May,"48,724","62,314","40,250","47,801","89,845","38,185","57,925","35,998","37,075","51,139","41,532","58,217","48,294"
TATE_LIVERPOOL_June,"59,449","60,810","40,373","46,210","144,565","44,297","69,300","45,791","55,740","57,352","46,528","43,894","51,198"
TATE_LIVERPOOL_July,"71,448","69,290","65,660","53,317","187,917","59,694","87,115","81,419","79,328","68,614","68,947","71,520","73,174"
TATE_LIVERPOOL_August,"66,815","81,898","68,439","84,524","225,184","78,012","106,065","81,553","85,698","79,755","64,914","80,716", -   
TATE_LIVERPOOL_September,"50,591","62,123","49,352","71,174","60,770","41,665","42,421","62,587","63,270","58,422","52,578","53,372", -   
TATE_LIVERPOOL_October,"63,366","50,104","58,899","64,239","67,710","48,828","52,142","60,804","64,021","45,139","51,242","60,299", -   
TATE_LIVERPOOL_November,"36,144","36,379","43,183","68,988","50,654","33,595","37,185","47,480","37,767","34,634","49,772","33,291", -   
TATE_LIVERPOOL_December,"23,081","27,673","29,067","44,002","22,046","28,082","20,798","36,362","24,896","25,390","38,839","33,995", -   
TATE_LIVERPOOL_January,"29,227","29,625","31,852","45,152","42,401","28,934","25,587","42,389","25,313","30,907","49,664","37,147", -   
TATE_LIVERPOOL_February,"43,807","45,806","48,381","59,205","45,213","41,634","34,543","40,130","50,027","39,962","53,319","49,176", -   
TATE_LIVERPOOL_March,"49,327","39,924","41,702","62,436","36,152","36,992","33,982","33,696","43,105","35,485","40,284","48,198", -   
TATE_LIVERPOOL_FY_Total,"591,314","606,853","566,264","690,887","1,035,958","520,687","606,259","606,323","613,911","569,238","597,768","617,664","219,459"
TATE_ST_IVES_April,"23,558","17,990","27,535","22,213","19,899","22,492","19,911","25,005","20,095","25,232","4,365","23,268","4,022"
TATE_ST_IVES_May,"20,284","19,774","21,721","23,581","18,816","19,443","17,271","19,488","15,496","17,371","18,110","21,366","5,260"
TATE_ST_IVES_June,"26,366","23,436","23,834","26,737","20,524","20,805","30,356","23,105","23,554","25,606","26,490","24,837","6,808"
TATE_ST_IVES_July,"33,587","31,237","29,793","33,870","30,000","32,149","29,339","31,798","28,274","41,410","36,274","35,999","7,917"
TATE_ST_IVES_August,"38,381","36,242","40,678","40,678","34,807","37,214","38,318","38,501","32,254","41,494","42,241","37,277", -   
TATE_ST_IVES_September,"27,172","26,881","25,768","27,199","22,661","23,029","21,445","22,615","23,077","30,483","28,253","29,469", -   
TATE_ST_IVES_October,"21,417","20,448","21,511","21,598","18,621","18,156","17,592","15,579","16,249","19,982","20,720","5,049", -   
TATE_ST_IVES_November,"7,370","7,797","7,772","8,448","6,889","7,695","6,861","7,754","7,874","12,805","11,008","1,312", -   
TATE_ST_IVES_December,"6,999","6,613","7,521","5,795","4,715","6,448","5,774","6,432","5,419","8,706","8,894","1,208", -   
TATE_ST_IVES_January,"6,524","6,110","6,710","6,431","5,048","4,728","5,769","3,939","5,772","8,936","9,185","1,061", -   
TATE_ST_IVES_February,"10,081","12,934","14,364","10,633","9,320","8,477","7,978","8,145","9,860","1,197","10,556","1,708", -   
TATE_ST_IVES_March,"15,448","14,743","14,152","16,810","12,390","18,582","9,378","10,328","15,329","1,858","14,394","3,094", -   
TATE_ST_IVES_FY_Total,"237,187","224,205","241,359","243,993","203,690","219,218","209,992","212,689","203,253","235,080","230,490","185,648","24,007"
TYNE_&_WEAR_TOTAL_April,"161,369","137,923","142,351","128,175","142,872","143,701","194,564","151,080","188,023","155,193","187,221", -   , -   
TYNE_&_WEAR_TOTAL_May,"116,560","132,289","125,788","139,848","132,699","202,285","162,698","142,740","128,613","151,479","178,653", -   , -   
TYNE_&_WEAR_TOTAL_June,"166,985","143,753","121,026","124,678","119,366","227,002","164,678","139,863","158,326","135,115","131,255", -   , -   
TYNE_&_WEAR_TOTAL_July,"162,404","156,740","135,352","155,518","146,667","287,313","207,897","179,095","167,560","170,927","155,660", -   , -   
TYNE_&_WEAR_TOTAL_August,"225,039","216,859","212,753","214,261","205,727","343,148","296,316","258,348","219,867","218,349","226,296", -   , -   
TYNE_&_WEAR_TOTAL_September,"147,521","130,134","118,594","121,598","114,289","180,069","166,764","134,846","115,044","132,978","121,178", -   , -   
TYNE_&_WEAR_TOTAL_October,"137,850","151,483","140,170","135,180","140,491","206,609","179,623","169,345","149,689","150,347","162,945", -   , -   
TYNE_&_WEAR_TOTAL_November,"97,935","100,283","98,245","97,604","105,189","133,532","121,617","125,432","140,368","129,411","133,540", -   , -   
TYNE_&_WEAR_TOTAL_December,"100,424","92,501","85,099","77,528","86,487","96,931","96,644","98,857","84,950","86,663","93,771", -   , -   
TYNE_&_WEAR_TOTAL_January,"75,799","84,958","89,520","83,052","92,960","101,810","107,294","103,545","92,793","106,197","104,268", -   , -   
TYNE_&_WEAR_TOTAL_February,"124,301","122,902","120,421","118,603","120,517","189,512","169,669","159,196","153,972","172,744","160,860", -   , -   
TYNE_&_WEAR_TOTAL_March,"157,720","99,076","106,813","105,992","110,828","174,825","155,485","135,733","141,658","137,115","129,292", -   , -   
TYNE_&_WEAR_TOTAL_FY_Total,"1,673,907","1,568,901","1,496,132","1,502,037","1,518,092","2,286,737","2,023,249","1,798,080","1,740,863","1,746,518","1,784,939", -   , -   
(T&W)_ARBEIA_April,"10,500","10,474","6,571","7,233","6,618","5,215","5,028","6,555","3,874","3,241","4,206", - , - 
(T&W)_ARBEIA_May,"11,434","11,275","6,910","6,978","7,552","5,291","5,547","5,998","3,791","3,720","3,557", - , - 
(T&W)_ARBEIA_June,"15,254","14,305","8,218","7,943","6,623","5,227","6,025","7,866","3,725","4,646","4,737", - , - 
(T&W)_ARBEIA_July,"8,831","12,043","11,264","9,905","7,855","5,114","5,992","8,636","3,453","5,437","4,999", - , - 
(T&W)_ARBEIA_August,"8,519","10,980","10,492","9,888","10,030","8,145","7,896","10,152","4,627","5,943","6,013", - , - 
(T&W)_ARBEIA_September,"10,458","8,971","8,900","9,415","7,085","3,387","5,831","5,948","2,689","4,165","3,922", - , - 
(T&W)_ARBEIA_October,"6,552","9,257","8,326","8,955","7,059","4,717","4,655","1,815","1,412","1,332","2,264", - , - 
(T&W)_ARBEIA_November,"6,646","6,733","5,832","4,927","3,639","2,630",329,967,423,963,551, - , - 
(T&W)_ARBEIA_December,"4,000","3,781","2,543","2,182","1,492","1,155",110,355,207,78,213, - , - 
(T&W)_ARBEIA_January,"2,034","1,864","2,058","2,398","1,921","1,454",131,219,412, - ,225, - , - 
(T&W)_ARBEIA_February,"4,635","2,807","3,341","3,792","2,777","2,519",51,353,8,168,246, - , - 
(T&W)_ARBEIA_March,"9,385","3,803","4,830","4,972","4,287","3,381",379,474,"3,759",929,"1,104", - , - 
(T&W)_ARBEIA_FY_Total,"98,248","96,293","79,285","78,588","66,938","48,235","41,974","49,338","28,380","30,622","32,037", - , - 
(T&W)_DISCOVERY_April,"37,919","38,475","38,635","33,627","43,530","42,789","34,892","27,041","47,668","40,222","43,503", -   , -   
(T&W)_DISCOVERY_May,"22,877","31,323","31,684","39,391","34,383","37,626","31,394","30,199","31,192","34,773","37,266", -   , -   
(T&W)_DISCOVERY_June,"41,726","38,963","25,423","35,120","33,377","31,034","31,022","31,674","40,158","26,804","28,125", -   , -   
(T&W)_DISCOVERY_July,"42,757","40,800","30,574","42,392","42,691","46,679","44,625","35,619","39,348","34,886","32,342", -   , -   
(T&W)_DISCOVERY_August,"70,520","51,073","64,674","60,398","66,366","56,783","57,881","57,890","56,825","45,930","58,374", -   , -   
(T&W)_DISCOVERY_September,"32,843","26,426","29,698","29,561","33,472","31,888","30,236","27,222","20,302","27,541","23,760", -   , -   
(T&W)_DISCOVERY_October,"41,877","39,518","41,986","37,854","42,383","40,902","36,331","38,186","37,202","37,000","38,439", -   , -   
(T&W)_DISCOVERY_November,"25,377","30,083","30,690","29,265","31,393","26,712","24,755","27,206","32,886","26,893","28,010", -   , -   
(T&W)_DISCOVERY_December,"26,415","31,646","25,777","20,856","23,747","20,461","18,006","26,598","22,431","19,509","24,003", -   , -   
(T&W)_DISCOVERY_January,"28,516","25,935","31,508","30,394","30,965","25,110","25,984","29,167","27,022","29,308","30,152", -   , -   
(T&W)_DISCOVERY_February,"42,723","45,408","45,285","44,452","44,793","44,844","46,681","43,320","43,229","54,794","39,575", -   , -   
(T&W)_DISCOVERY_March,"54,246","30,839","37,449","36,554","39,252","41,741","42,252","31,642","37,796","35,404","28,662", -   , -   
(T&W)_DISCOVERY_FY_Total,"467,796","430,489","433,383","439,864","466,352","446,569","424,059","405,764","436,059","413,064","412,211", -   , -   
(T&W)_HANCOCK_April,"13,687","8,098","2,121", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_May,"3,872","5,523", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_June,"4,228","5,773", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_July,"6,000","4,319", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_August,"14,027","9,941", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_September,"7,118","5,257", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_October,"7,971","8,407", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_November,"4,078","5,539", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_December,"3,818","3,064", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_January,"2,741","5,168", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_February,"9,294","8,712", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_March,"10,418","6,893", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_HANCOCK_FY_Total,"87,252","76,694","2,121", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_GREAT_NORTH_April, -   , -   , -   , -   , -   , -   ,"57,634","36,737","62,383","37,473","61,304", -   , -   
(T&W)_GREAT_NORTH_May, -   , -   , -   , -   , -   ,"63,568","38,529","35,707","29,984","40,543","54,699", -   , -   
(T&W)_GREAT_NORTH_June, -   , -   , -   , -   , -   ,"112,719","35,978","31,185","39,717","30,108","31,594", -   , -   
(T&W)_GREAT_NORTH_July, -   , -   , -   , -   , -   ,"120,960","45,340","47,286","40,236","42,286","42,069", -   , -   
(T&W)_GREAT_NORTH_August, -   , -   , -   , -   , -   ,"144,506","76,757","78,665","57,831","58,592","66,408", -   , -   
(T&W)_GREAT_NORTH_September, -   , -   , -   , -   , -   ,"59,101","35,982","31,280","24,396","29,298","28,377", -   , -   
(T&W)_GREAT_NORTH_October, -   , -   , -   , -   , -   ,"70,386","47,016","48,660","33,056","40,746","43,993", -   , -   
(T&W)_GREAT_NORTH_November, -   , -   , -   , -   , -   ,"41,605","26,586","27,428","31,800","27,505","27,271", -   , -   
(T&W)_GREAT_NORTH_December, -   , -   , -   , -   , -   ,"25,925","22,270","20,612","21,348","18,984","22,249", -   , -   
(T&W)_GREAT_NORTH_January, -   , -   , -   , -   , -   ,"29,891","29,083","24,259","23,241","26,547","27,550", -   , -   
(T&W)_GREAT_NORTH_February, -   , -   , -   , -   , -   ,"59,619","50,575","46,729","43,222","49,986","54,016", -   , -   
(T&W)_GREAT_NORTH_March, -   , -   , -   , -   , -   ,"42,972","38,223","36,037","31,517","36,652","32,404", -   , -   
(T&W)_GREAT_NORTH_FY_Total, -   , -   , -   , -   , -   ,"771,252","503,973","464,585","438,731","438,720","491,934", -   , -   
(T&W)_LAING_April,"28,303","27,818","27,135","17,636","23,990","20,133","25,093","22,751","20,278","18,179","17,589", -   , -   
(T&W)_LAING_May,"23,304","27,528","28,371","25,950","24,230","21,015","20,961","23,235","19,513","17,714","20,272", -   , -   
(T&W)_LAING_June,"30,274","24,950","29,906","23,630","22,809","18,895","19,148","19,117","22,866","15,938","15,654", -   , -   
(T&W)_LAING_July,"23,529","24,539","19,188","23,485","21,325","23,260","21,989","21,411","29,069","19,638","14,348", -   , -   
(T&W)_LAING_August,"24,037","29,546","27,023","20,558","24,628","23,745","26,123","25,575","29,493","22,842","19,726", -   , -   
(T&W)_LAING_September,"27,271","27,933","21,326","19,078","21,731","21,021","23,902","20,415","21,527","18,547","15,616", -   , -   
(T&W)_LAING_October,"27,240","27,611","23,463","24,546","26,065","27,539","27,639","24,978","25,005","19,796","18,287", -   , -   
(T&W)_LAING_November,"22,979","22,142","22,340","25,064","25,554","20,665","22,480","21,422","21,520","20,350","20,502", -   , -   
(T&W)_LAING_December,"24,136","20,715","18,517","17,880","18,817","16,621","16,982","20,063","16,299","18,083","16,002", -   , -   
(T&W)_LAING_January,"15,235","19,208","18,865","17,051","19,864","15,120","18,288","16,868","15,739","20,760","16,776", -   , -   
(T&W)_LAING_February,"24,486","21,918","20,163","22,477","20,922","30,884","22,324","20,786","19,851","20,203","17,720", -   , -   
(T&W)_LAING_March,"24,903","20,882","20,376","20,300","19,806","30,452","29,919","20,040","19,457","19,920","22,369", -   , -   
(T&W)_LAING_FY_Total,"295,697","294,790","276,673","257,655","269,741","269,350","274,848","256,661","260,617","231,970","214,861", -   , -   
(T&W)_MONKWEARMOUTH_April,"3,067","3,540", -   , -   ,"3,787","2,979","2,371","2,024","3,301","2,423","2,315", -   , -   
(T&W)_MONKWEARMOUTH_May,"1,891","2,504", -   , -   ,"3,079","2,349","2,428","2,204","2,481","2,256","2,115", -   , -   
(T&W)_MONKWEARMOUTH_June,"3,709","2,471", -   , -   ,"2,469","2,321","2,355","2,116","2,391","1,619","1,438", -   , -   
(T&W)_MONKWEARMOUTH_July,"3,299","2,483", -   ,270,"2,752","3,180","3,381","2,404","2,465","2,412","1,857", -   , -   
(T&W)_MONKWEARMOUTH_August,"5,040","4,915", -   ,"16,345","4,148","3,179","3,564","3,507","3,362","3,012","2,746", -   , -   
(T&W)_MONKWEARMOUTH_September,"2,872", -   , -   ,"5,507","2,207","2,099","2,375","2,087","1,931","1,734","1,661", -   , -   
(T&W)_MONKWEARMOUTH_October,"3,833", -   , -   ,"4,919","1,936","2,854","2,407","3,023","2,268","1,971","2,089", -   , -   
(T&W)_MONKWEARMOUTH_November,"2,279", -   , -   ,"1,821","1,942","2,608","2,050","2,269","2,469","1,857","1,672", -   , -   
(T&W)_MONKWEARMOUTH_December,"2,530", -   , -   ,"1,778","2,004","1,266","1,584","1,740","1,100","1,127","1,300", -   , -   
(T&W)_MONKWEARMOUTH_January,"1,763", -   , -   ,"1,731","2,776",941,"1,646","1,953","1,417","1,639","1,399", -   , -   
(T&W)_MONKWEARMOUTH_February,"2,848", -   , -   ,"2,735","3,070","2,036","2,472","2,980","2,268","2,156","2,141", -   , -   
(T&W)_MONKWEARMOUTH_March,"3,445", -   , -   ,"1,730","2,937","2,654","2,384","2,480","2,077","1,918","1,714", -   , -   
(T&W)_MONKWEARMOUTH_FY_Total,"36,576","15,913", -   ,"36,836","33,107","28,466","29,017","28,787","27,530","24,124","22,447", -   , -   
(T&W)_WASHINGTON_April,31, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_WASHINGTON_May,168,51, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_WASHINGTON_June,171,77, -   , -   , -   , -   , -   , -   , -   ,16, -   , -   , -   
(T&W)_WASHINGTON_July,193,94, -   ,149, -   , -   ,171,307, -   , -   , -   , -   , -   
(T&W)_WASHINGTON_August,131,263,130, -   ,166,209, -   , -   ,214,150, -   , -   , -   
(T&W)_WASHINGTON_September,863,676,292,556,574,869,903,"1,045",405,195,662, -   , -   
(T&W)_WASHINGTON_October, -   , -   , -   , -   ,249,87,62, -   ,10, -   , -   , -   , -   
(T&W)_WASHINGTON_November, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_WASHINGTON_December, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_WASHINGTON_January, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_WASHINGTON_February, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
(T&W)_WASHINGTON_March, -   , -   , -   , -   , -   , -   ,230, -   , -   , -   , -   , -   , -   
(T&W)_WASHINGTON_FY_Total,"1,557","1,161",422,705,989,"1,165","1,366","1,352",629,361,662, -   , -   
(T&W)_SEGEDUNUM_April,"3,451","3,794","3,327","3,654","3,881","2,870","2,290","4,047","3,086","3,600","3,088", -   , -   
(T&W)_SEGEDUNUM_May,"3,472","4,312","3,397","4,197","5,198","4,281","3,571","3,299","3,647","3,527","4,076", -   , -   
(T&W)_SEGEDUNUM_June,"5,856","4,451","3,633","3,744","4,179","3,909","4,625","4,012","4,840","4,273","4,415", -   , -   
(T&W)_SEGEDUNUM_July,"4,165","4,721","4,435","4,210","4,195","3,467","3,745","4,049","3,932","4,930","4,628", -   , -   
(T&W)_SEGEDUNUM_August,"5,501","5,661","6,799","4,983","6,048","4,441","5,127","4,989","3,925","4,071","4,121", -   , -   
(T&W)_SEGEDUNUM_September,"4,405","4,598","3,497","3,176","4,109","3,525","4,491","4,509","3,288","5,705","4,027", -   , -   
(T&W)_SEGEDUNUM_October,"5,052","4,640","6,178","4,455","4,615","3,666","3,376","4,695","3,116","4,128","3,817", -   , -   
(T&W)_SEGEDUNUM_November,"3,930","3,600","3,546","3,969","4,609","4,581","14,734","12,233","12,007","14,296","14,498", -   , -   
(T&W)_SEGEDUNUM_December,"1,901","1,139","1,163",927,"1,215",909,561,663,405,665,633, -   , -   
(T&W)_SEGEDUNUM_January,"2,102","2,765","1,945","1,438","2,647",899,"1,367",708,393,"1,199",900, -   , -   
(T&W)_SEGEDUNUM_February,"3,426","3,597","3,256","2,618","2,442","2,044","2,566","2,304","1,748","2,185","1,856", -   , -   
(T&W)_SEGEDUNUM_March,"5,234","2,902","3,962","2,833","3,300","8,331","2,669","2,641","2,071","2,633","2,468", -   , -   
(T&W)_SEGEDUNUM_FY_Total,"48,495","46,180","45,138","40,204","46,438","42,923","49,122","48,149","42,458","51,212","48,527", -   , -   
(T&W)_SHIPLEY_April,"2,918","4,190","2,801","2,212","3,329","2,903","2,779","2,155","2,248","1,948","2,350", -   , -   
(T&W)_SHIPLEY_May,"2,488","3,496","2,577","3,116","3,023","3,365","3,149","2,857","3,226","2,297","3,067", -   , -   
(T&W)_SHIPLEY_June,"3,379","3,520","2,805","2,261","2,788","2,782","2,311","2,635","1,821","1,749","1,916", -   , -   
(T&W)_SHIPLEY_July,"3,322","3,051","3,805","2,534","2,128","3,720","2,896","2,709","1,703","1,677","2,015", -   , -   
(T&W)_SHIPLEY_August,"4,095","3,586","5,411","2,892","3,129","2,905","3,623","2,747","1,651","1,773","2,354", -   , -   
(T&W)_SHIPLEY_September,"3,299","6,719","3,327","2,716","2,282","2,986","2,871","2,693","2,372","1,694","2,555", -   , -   
(T&W)_SHIPLEY_October,"2,849","8,946","4,449","3,091","2,759","5,948","3,268","3,252","2,692","2,174","2,352", -   , -   
(T&W)_SHIPLEY_November,"3,696","3,873","4,488","3,422","4,622","5,356","3,500","3,932","3,307","2,406","2,931", -   , -   
(T&W)_SHIPLEY_December,"4,321","3,028","2,649","2,745","3,219","2,847","1,907","2,104","1,469","1,176","1,517", -   , -   
(T&W)_SHIPLEY_January,"2,572","2,322","2,445","1,774","2,438","4,128","2,487","1,841","2,054","1,391","1,877", -   , -   
(T&W)_SHIPLEY_February,"3,634","2,668","2,333","2,233","3,415","3,332","3,521","3,406","2,323","2,012","2,001", -   , -   
(T&W)_SHIPLEY_March,"4,451","2,676","2,799","2,910","3,625","3,028","2,608","3,597","2,382","2,297","2,934", -   , -   
(T&W)_SHIPLEY_FY_Total,"41,024","48,075","39,889","31,906","36,757","43,300","34,920","33,928","27,248","22,594","27,869", -   , -   
(T&W)_SOUTH_SHIELDS_April,"21,926","13,638","17,706","17,893","14,862","18,044","17,715","14,084","12,366","12,723","12,922", -   , -   
(T&W)_SOUTH_SHIELDS_May,"12,571","13,062","13,875","15,096","14,883","15,685","13,465","9,672","8,712","10,742","10,242", -   , -   
(T&W)_SOUTH_SHIELDS_June,"18,809","13,868","12,812","13,891","10,037","10,584","19,125","10,626","9,948","10,586","10,650", -   , -   
(T&W)_SOUTH_SHIELDS_July,"21,003","20,155","18,929","19,048","17,604","21,927","30,545","14,734","13,642","12,906","12,939", -   , -   
(T&W)_SOUTH_SHIELDS_August,"24,211","25,777","26,073","29,074","24,699","24,274","43,230","21,269","18,740","16,315","17,174", -   , -   
(T&W)_SOUTH_SHIELDS_September,"15,306","11,718","13,776","11,950","11,821","12,027","17,690","10,790","9,397","10,771","10,654", -   , -   
(T&W)_SOUTH_SHIELDS_October,"11,089","12,934","14,774","13,142","14,416","11,955","11,926","12,492","9,770","10,429","10,834", -   , -   
(T&W)_SOUTH_SHIELDS_November,"7,604","6,800","8,765","7,847","10,863","7,959","6,100","8,260","8,892","8,720","8,307", -   , -   
(T&W)_SOUTH_SHIELDS_December,"9,652","9,580","10,989","9,196","10,592","6,669","7,593","5,095","4,288","5,057","3,932", -   , -   
(T&W)_SOUTH_SHIELDS_January,"5,846","7,144","10,804","7,387","11,236","5,504","7,391","6,647","6,011","5,642","5,840", -   , -   
(T&W)_SOUTH_SHIELDS_February,"9,854","9,820","16,351","12,745","11,843","11,320","11,936","11,450","10,542","10,611","8,838", -   , -   
(T&W)_SOUTH_SHIELDS_March,"12,877","7,396","12,555","10,422","9,660","11,967","9,491","10,033","11,887","9,267","12,340", -   , -   
(T&W)_SOUTH_SHIELDS_FY_Total,"170,748","151,892","177,409","167,691","162,516","157,915","196,207","135,152","124,195","123,769","124,672", -   , -   
