,2004_05,2005_06,2006_07,2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17
IWM_LONDON_January,"51,090","47,670","50,234","50,242","66,366","52,470","78,911","72,320","2,284","11,387","92,588","63,030", - 
IWM_LONDON_February,"71,992","63,908","70,001","70,390","89,532","96,009","89,926","92,982",197,183,"95,186","83,769", - 
IWM_LONDON_March,"87,948","59,809","71,084","75,791","72,143","78,844","84,570","91,276",307,212,"99,427","92,272", - 
IWM_LONDON_FY_Total,"764,870","690,529","732,307","759,571","865,601","886,528","1,095,442","976,324","704,097","369,880","1,190,193","1,054,525","362,103"
HMS_BELFAST_(IWM)_April,"30,355","24,555","33,699","29,666","24,138","32,308","27,688","29,313", -   ,"35,340","40,284","32,304","26,932"
HMS_BELFAST_(IWM)_May,"26,034","27,412","25,246","25,219","25,710","26,425","23,431","21,524","8,990","35,438","33,840","30,985","26,981"
HMS_BELFAST_(IWM)_June,"26,483","26,253","25,697","22,151","19,212","22,128","21,776","23,826","22,640","27,056","29,772","24,451","23,447"
HMS_BELFAST_(IWM)_July,"28,530","20,185","27,350","26,758","26,315","29,751","27,114","30,446","21,963","37,191","39,412","35,032","34,689"
HMS_BELFAST_(IWM)_August,"32,272","20,110","32,720","31,526","33,320","36,487","35,321","37,240","29,500","48,852","51,485","42,088", - 
HMS_BELFAST_(IWM)_September,"15,851","14,780","18,524","16,889","14,325","15,487","13,907","16,713","17,296","20,611","21,547","20,361", - 
HMS_BELFAST_(IWM)_October,"28,287","23,680","26,792","23,544","23,071","25,429","25,655","27,569","27,462","31,779","37,106","30,485", - 
HMS_BELFAST_(IWM)_November,"14,718","11,637","16,206","14,058","12,087","11,869","12,094","11,984","17,924","17,897","20,587","14,202", - 
HMS_BELFAST_(IWM)_December,"16,279","12,428","14,251","13,871","10,851","11,033","9,902", - ,"14,583","15,782","16,523","14,920", - 
HMS_BELFAST_(IWM)_January,"12,008","9,848","10,415","10,409","10,345","7,637","9,565", - ,"11,575","12,712","12,087","11,845", - 
HMS_BELFAST_(IWM)_February,"21,783","19,465","20,867","20,039","19,106","16,989","17,295", - ,"22,392","21,665","19,541","18,641", - 
HMS_BELFAST_(IWM)_March,"25,907","19,140","21,603","24,811","20,055","19,309","17,704", - ,"28,429","21,398","21,027","25,355", - 
HMS_BELFAST_(IWM)_FY_Total,"278,507","229,493","273,370","258,941","238,535","254,852","241,452","198,615","222,754","325,721","343,211","300,669","112,049"
CHURCHILL_WAR_ROOMS_(IWM)_April,"26,901","32,463","28,942","29,550","23,782","27,996","25,559","32,173","35,693","42,313","43,477","42,956","39,644"
CHURCHILL_WAR_ROOMS_(IWM)_May,"29,425","35,457","28,286","28,937","27,448","28,670","30,060","33,121","30,110","46,903","46,021","47,977","43,542"
CHURCHILL_WAR_ROOMS_(IWM)_June,"32,888","33,256","30,630","31,674","28,757","31,256","31,918","38,315","34,814","51,919","52,385","53,066","51,849"
CHURCHILL_WAR_ROOMS_(IWM)_July,"33,188","31,677","34,410","34,215","32,910","37,148","38,008","44,246","29,041","57,656","57,968","60,936","55,015"
CHURCHILL_WAR_ROOMS_(IWM)_August,"25,519","23,594","27,144","27,714","27,654","33,087","39,326","42,536","28,178","53,175","52,890","54,414", - 
CHURCHILL_WAR_ROOMS_(IWM)_September,"22,152","21,735","23,353","25,492","21,733","26,123","28,666","28,435","31,119","41,483","40,292","43,431", - 
CHURCHILL_WAR_ROOMS_(IWM)_October,"27,311","25,756","24,645","25,217","24,255","29,238","32,823","31,606","35,728","41,352","41,031","45,903", - 
CHURCHILL_WAR_ROOMS_(IWM)_November,"19,658","22,064","20,468","19,884","18,709","21,766","22,480","22,478","27,633","27,031","28,665","29,907", - 
CHURCHILL_WAR_ROOMS_(IWM)_December,"18,486","17,051","18,098","17,834","17,261","19,029","18,973","23,348","26,486","25,864","27,637","28,131", - 
CHURCHILL_WAR_ROOMS_(IWM)_January,"15,247","15,743","15,983","14,860","15,574","14,833","16,795","17,805","20,388","22,328","24,319","22,334", - 
CHURCHILL_WAR_ROOMS_(IWM)_February,"31,124","21,048","19,742","20,814","19,618","19,213","22,359","21,530","26,168","26,146","28,350","24,882", - 
CHURCHILL_WAR_ROOMS_(IWM)_March,"40,156","24,630","27,203","30,409","24,657","26,762","29,171","25,553","40,792","33,906","37,673","41,138", - 
