place,Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,
,,,,,,,,,,,,,,
Harpers Ferry NHP,2016,"3,545","4,449","14,552","25,522","34,063","33,309","52,704","38,902","37,320","49,596",,,"293,962"
,2015,"1,700","1,292","7,228","24,473","40,173","32,865","44,579","35,511","27,808","37,468","18,263","11,533","282,893"
,2014,"1,655","2,478","6,951","22,009","36,670","34,362","41,539","36,047","23,129","37,080","13,294","5,988","261,202"
,2013,"3,525","2,099","11,245","23,321","31,011","38,254","43,469","34,976","28,248","15,627","18,970","4,969","255,714"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Harry S Truman NHS,2016,900,"1,219","2,549","2,562","3,865","4,215","4,805","3,973","3,767","3,645",,,"31,500"
,2015,847,970,"2,287","2,281","3,818","4,441","4,683","3,677","3,809","3,119","1,717","1,176","32,825"
,2014,727,531,"1,880","2,154","3,647","3,482","4,404","4,256","2,963","2,795","1,271","1,254","29,364"
,2013,931,"1,051","2,113","2,177","3,312","3,928","4,534","4,268","2,873","1,600","1,496",694,"28,977"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Hawaii Volcanoes NP,2016,"167,814","164,194","145,909","129,986","138,100","165,905","182,278","180,413","126,474","146,883",,,"1,547,956"
,2015,"156,106","151,778","145,077","140,357","169,435","170,792","178,630","164,216","126,494","133,769","136,135","159,871","1,832,660"
,2014,"157,772","157,000","140,499","127,184","123,662","146,570","163,849","151,578","121,950","121,337","131,262","150,342","1,693,005"
,2013,"150,606","147,131","139,222","124,963","117,469","137,853","160,617","137,614","121,625","69,872","131,877","144,360","1,583,209"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Herbert Hoover NHS,2016,"6,989","5,222","7,464","9,837","14,227","16,264","18,336","25,432","13,274","10,241",,,"127,286"
,2015,"6,984","4,331","7,287","12,424","14,225","14,139","15,568","19,728","10,836","9,060","6,339","6,233","127,154"
,2014,"5,361","3,504","6,757","9,894","12,709","15,019","16,624","21,050","12,640","9,935","7,961","17,632","139,086"
,2013,"4,502","3,670","5,764","9,546","13,973","11,704","16,211","22,499","11,528","4,563","7,984","16,975","128,919"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Home of Franklin D. Roosevelt NHS,2016,"4,761","5,676","9,106","15,522","21,155","20,818","25,013","22,954","21,228","27,220",,,"173,453"
,2015,"3,563","2,934","5,610","13,305","19,392","21,390","22,919","24,366","21,466","26,620","10,967","7,873","180,405"
,2014,"2,577","3,030","5,274","12,511","17,896","19,926","21,921","22,374","21,879","30,838","12,194","8,920","179,340"
,2013,"3,648","3,468","7,130","11,594","15,530","16,886","21,581","23,198","18,566","10,271","9,834","5,512","147,218"
