place,Year,Jan,Feb,March,April,May,June,July,August,September,October,November,December,
,2013,"6,325","5,566","9,637","12,903","86,716","70,665","118,819","110,619","76,796","7,018","8,645","9,318","523,027"
,,,,,,,,,,,,,,
Craters of the Moon NM,2016,"3,931","5,189","8,413","11,005","27,103","43,637","49,945","42,730","36,211",,,,"228,164"
,2015,"2,414","4,200","10,137","11,069","26,736","39,487","49,410","43,763","36,255","17,369","3,773","2,213","246,826"
,2014,"2,895","3,234","6,088","9,735","21,599","36,121","40,790","39,221","31,196","16,761","4,873","2,480","214,993"
,2013,"2,215","3,293","5,571","7,393","21,273","36,290","43,503","37,543","28,510","9,444","4,340","1,150","200,525"
,,,,,,,,,,,,,,
Cumberland Gap NHP,2016,"34,126","33,542","71,247","103,252","89,555","81,425","91,318","87,915","66,393",,,,"658,773"
,2015,"30,438","32,329","60,020","83,165","90,820","93,968","93,037","90,193","85,911","79,788","55,999","44,933","840,601"
,2014,"47,311","39,264","58,469","82,733","90,088","114,342","92,098","84,850","96,165","80,991","58,238","35,385","879,934"
,2013,"33,053","34,627","46,839","72,045","79,121","91,098","91,510","80,105","92,552","59,966","55,165","32,282","768,363"
,,,,,,,,,,,,,,
Curecanti NRA,2016,"17,433","19,116","20,397","40,260","80,948","164,015","199,496","209,978","124,910",,,,"876,553"
,2015,"16,524","16,434","21,250","39,923","95,113","159,826","181,545","191,914","112,272","58,090","36,898","14,953","944,742"
,2014,"17,785","17,841","23,119","37,087","95,007","101,816","207,226","179,817","134,869","66,827","34,975","14,998","931,367"
,2013,"16,960","16,786","22,643","28,871","85,497","124,055","177,148","147,810","114,923","35,064","29,925","14,481","814,163"
,,,,,,,,,,,,,,
Cuyahoga Valley NP,2016,"85,195","83,784","104,225","171,879","255,362","306,943",,,,,,,"1,007,388"
,2015,"76,795","72,272","105,883","210,102","283,076","250,161","319,145","287,975","206,668","227,876","129,512","115,147","2,284,612"
,2014,"89,704","81,166","98,108","198,023","245,144","246,874","286,307","273,080","221,783","228,171","109,529","111,960","2,189,849"
,2013,"84,333","78,012","104,524","181,602","260,588","260,571","289,470","282,907","239,958","78,947","125,141","116,957","2,103,010"
,,,,,,,,,,,,,,
Dayton Aviation Heritage NHP,2016,"2,228","2,600","5,647","46,432","14,434","5,063",,,,,,,"76,404"
,2015,"1,432","2,023","3,163","6,221","12,012","8,970","9,889","8,781","7,522","6,778","4,273","2,524","73,588"
,2014,824,"1,013","2,973","5,595","10,175","7,414","7,637","6,677","5,742","4,366","3,329","1,820","57,565"
,2013,"1,111","1,896","3,525","5,199","11,343","7,928","7,734","6,740","5,839","3,715","2,690","1,554","59,274"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
De Soto NMEM,2016,"21,361","25,399","27,237","23,291","18,658","14,175","16,768","14,712","14,322",,,,"175,923"
,2015,"59,780","40,929","53,187","16,754","11,510","12,086","22,335","12,150","12,557","17,062","16,303","18,994","293,647"
,2014,"29,976","25,807","45,960","31,757","30,660","31,594","26,583","20,813","22,671","24,155","28,637","23,426","342,039"
,2013,"32,409","31,261","26,856","26,741","23,643","18,343","20,706","22,249","12,588","12,576","29,423","23,129","279,924"
,,,,,,,,,,,,,,
Death Valley NP,2016,"69,229","93,970","209,282","109,486","101,842","53,042","103,950","116,843",,,,,"857,644"
,2015,"79,547","75,606","109,421","107,352","122,137","95,496","113,672","111,467","88,005","102,672","73,477","75,991","1,154,843"
,2014,"59,718","66,371","90,386","107,089","122,761","81,146","79,329","123,363","110,593","96,526","80,573","83,457","1,101,312"
,2013,"60,868","69,596","104,159","99,741","93,874","74,910","80,393","90,631","94,989","68,345","65,899","48,567","951,972"
,,,,,,,,,,,,,,
Delaware Water Gap NRA,2016,"170,887","138,489","226,173","252,037","279,308","307,983",,,,,,,"1,374,877"
,2015,"149,811","134,974","191,300","346,313","353,643","355,045","525,974","537,922","337,565","296,705","279,594","226,288","3,735,134"
,2014,"239,793","340,610","365,610","355,898","353,647","399,525","481,462","455,152","286,885","282,930","260,330","219,830","4,041,672"
,2013,"263,691","251,736","347,065","449,310","449,310","617,033","644,551","459,766","325,385","343,373","415,316","276,814","4,843,350"
,,,,,,,,,,,,,,
Denali NP & PRES,2016,500,"1,303","2,948","5,057","50,465","138,992","158,063","150,992","67,096",,,,"575,416"
,2015,326,851,"2,597","2,573","55,920","136,454","155,987","146,067","57,612","1,474",461,435,"560,757"
,2014,396,"1,019","2,231","2,883","49,380","127,291","151,285","138,254","56,890",846,455,385,"531,315"
,2013,319,"1,001","1,300","2,065","44,947","127,243","153,636","140,079","59,490",313,240,289,"530,922"
,,,,,,,,,,,,,,
Devils Postpile NM,2016,0,0,0,0,385,"15,106","43,138","32,678","29,136",,,,"120,443"
,2015,0,0,0,0,"1,995","25,834","40,269","33,554","23,742","14,919",0,0,"140,313"
,2014,0,0,0,0,"2,266","15,776","31,342","27,736","22,517","14,777",0,0,"114,414"
,2013,0,0,0,0,812,"12,492","33,541","22,153","20,392","2,404",0,0,"91,794"
,,,,,,,,,,,,,,
Devils Tower NM,2016,"2,518","3,706","9,332","11,032","39,104","99,959","125,756","106,822","63,426","24,595",,,"486,250"
,2015,"2,196","2,497","7,567","8,376","31,440","94,038","122,667","120,623","58,836","21,218","5,737","3,638","478,833"
,2014,"2,145","2,176","4,401","7,642","30,453","87,808","116,467","113,490","51,356","17,895","4,762","2,280","440,875"
,2013,"2,225","2,160","5,401","6,681","27,824","84,577","111,791","112,348","52,977","3,267","4,639","3,436","417,326"
,,,,,,,,,,,,,,
Dinosaur NM,2016,"3,291","4,053","8,228","17,708","31,767","57,884","65,900","52,276","34,888","18,453",,,"294,448"
,2015,"3,868","4,354","10,001","17,996","28,446","55,878","62,506","49,448","33,266","17,986","5,417","2,633","291,799"
,2014,"2,354","2,788","6,387","16,618","30,977","47,855","51,907","42,811","25,519","15,809","4,366","3,234","250,625"
,2013,"2,872","3,668","6,962","22,040","33,616","57,814","52,366","47,522","31,700","7,503","5,633","2,665","274,361"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Dry Tortugas NP,2016,"4,616","1,313","7,167","6,729","5,427","8,969","2,271",,,,,,"36,492"
,2015,"6,092","5,213","7,227","7,112","7,010","7,374","7,171","5,392","5,278","4,043","3,337","5,613","70,862"
,2014,"4,907","4,934","5,535","7,629","7,646","4,280","6,659","6,113","4,313","3,415","3,748","5,686","64,865"
,2013,"7,565","4,796","5,340","5,692","5,975","5,376","5,720","5,098","3,458","1,693","3,246","4,442","58,401"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Edgar Allan Poe NHS,2016,909,775,"1,375","1,337","1,357","1,131","1,767","1,291",943,"1,867",,,"12,752"
,2015,944,637,"1,148","1,234","1,343","1,224","1,624","1,323",619,"1,721","1,306",739,"13,862"
,2014,752,613,"1,163","1,109","1,111","1,355","1,497","1,671","1,303","1,400","1,045",682,"13,701"
,2013,"1,198","1,022",0,0,0,0,0,149,961,692,"1,284",578,"5,884"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Effigy Mounds NM,2016,"3,316","4,176","4,942","3,418","6,448","7,755","10,423","7,678","6,322","9,760",,,"64,238"
,2015,"3,577","5,112","5,436","4,924","8,211","8,649","11,419","10,603","8,187","11,407","2,346","2,030","81,901"
,2014,"2,703","5,434","3,905","3,595","8,381","9,224","13,030","10,915","7,162","9,313","2,117","2,033","77,812"
,2013,"3,615","5,990","3,775","3,777","7,510","8,609","12,070","10,739","7,340","3,728","2,170","1,751","71,074"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Eisenhower NHS,2016,450,638,"2,451","5,693","5,367","7,921","7,719","7,310","6,437","6,442",,,"50,428"
